video,predictor,beta,SE,p,sig
V1,Intercept,13.5602,10.3172,0.1973,ns
V1,phq,-0.3791,0.4012,0.3512,ns
V1,gad,0.5605,0.4644,0.2356,ns
V1,stai,-0.0395,0.1452,0.787,ns
V1,imm,0.6382,0.3192,0.0534,ns
V2,Intercept,20.7506,8.4689,0.0194,*
V2,phq,0.194,0.3854,0.6178,ns
V2,gad,-0.3012,0.4253,0.4835,ns
V2,stai,0.0346,0.1343,0.7984,ns
V2,imm,0.2265,0.2498,0.3708,ns
V3,Intercept,18.6297,10.5021,0.0848,ns
V3,phq,-0.5914,0.4386,0.1863,ns
V3,gad,0.8305,0.5052,0.1091,ns
V3,stai,-0.0701,0.1553,0.6546,ns
V3,imm,0.5069,0.3385,0.1433,ns
V4,Intercept,25.6018,7.0715,0.0009,***
V4,phq,0.0553,0.397,0.8901,ns
V4,gad,0.4176,0.4641,0.3744,ns
V4,stai,-0.1569,0.1424,0.278,ns
V4,imm,-0.1533,0.2575,0.5556,ns
V5,Intercept,-2.4013,10.0123,0.8119,ns
V5,phq,-0.4973,0.4014,0.2236,ns
V5,gad,0.2494,0.4594,0.5906,ns
V5,stai,0.0336,0.1452,0.8181,ns
V5,imm,1.0199,0.2907,0.0013,**
